true_label,cell_type
4,Hepatocytes - Midcentral
2,Endothelial Cells
4,Hepatocytes - Midcentral
2,Endothelial Cells
9,Stellate Cells
9,Stellate Cells
6,Hepatocytes - Portal
6,Hepatocytes - Portal
3,Hepatocytes - Central
10,T Cells
3,Hepatocytes - Central
6,Hepatocytes - Portal
6,Hepatocytes - Portal
6,Hepatocytes - Portal
6,Hepatocytes - Portal
2,Endothelial Cells
3,Hepatocytes - Central
6,Hepatocytes - Portal
9,Stellate Cells
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
6,Hepatocytes - Portal
7,Macrophages
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
6,Hepatocytes - Portal
3,Hepatocytes - Central
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
3,Hepatocytes - Central
6,Hepatocytes - Portal
7,Macrophages
9,Stellate Cells
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
3,Hepatocytes - Central
6,Hepatocytes - Portal
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
2,Endothelial Cells
6,Hepatocytes - Portal
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
2,Endothelial Cells
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
9,Stellate Cells
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
3,Hepatocytes - Central
6,Hepatocytes - Portal
6,Hepatocytes - Portal
3,Hepatocytes - Central
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
3,Hepatocytes - Central
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
3,Hepatocytes - Central
5,Hepatocytes - Midportal
3,Hepatocytes - Central
6,Hepatocytes - Portal
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
6,Hepatocytes - Portal
6,Hepatocytes - Portal
9,Stellate Cells
4,Hepatocytes - Midcentral
3,Hepatocytes - Central
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
3,Hepatocytes - Central
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
6,Hepatocytes - Portal
6,Hepatocytes - Portal
2,Endothelial Cells
6,Hepatocytes - Portal
6,Hepatocytes - Portal
7,Macrophages
3,Hepatocytes - Central
9,Stellate Cells
2,Endothelial Cells
2,Endothelial Cells
6,Hepatocytes - Portal
9,Stellate Cells
6,Hepatocytes - Portal
9,Stellate Cells
4,Hepatocytes - Midcentral
3,Hepatocytes - Central
6,Hepatocytes - Portal
3,Hepatocytes - Central
9,Stellate Cells
2,Endothelial Cells
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
3,Hepatocytes - Central
6,Hepatocytes - Portal
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
6,Hepatocytes - Portal
9,Stellate Cells
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
6,Hepatocytes - Portal
6,Hepatocytes - Portal
9,Stellate Cells
9,Stellate Cells
4,Hepatocytes - Midcentral
3,Hepatocytes - Central
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
6,Hepatocytes - Portal
6,Hepatocytes - Portal
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
2,Endothelial Cells
5,Hepatocytes - Midportal
4,Hepatocytes - Midcentral
3,Hepatocytes - Central
3,Hepatocytes - Central
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
9,Stellate Cells
6,Hepatocytes - Portal
2,Endothelial Cells
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
2,Endothelial Cells
2,Endothelial Cells
4,Hepatocytes - Midcentral
3,Hepatocytes - Central
6,Hepatocytes - Portal
6,Hepatocytes - Portal
9,Stellate Cells
5,Hepatocytes - Midportal
4,Hepatocytes - Midcentral
10,T Cells
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
6,Hepatocytes - Portal
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
3,Hepatocytes - Central
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
6,Hepatocytes - Portal
6,Hepatocytes - Portal
6,Hepatocytes - Portal
6,Hepatocytes - Portal
6,Hepatocytes - Portal
9,Stellate Cells
9,Stellate Cells
6,Hepatocytes - Portal
6,Hepatocytes - Portal
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
9,Stellate Cells
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
5,Hepatocytes - Midportal
2,Endothelial Cells
6,Hepatocytes - Portal
2,Endothelial Cells
6,Hepatocytes - Portal
5,Hepatocytes - Midportal
2,Endothelial Cells
2,Endothelial Cells
2,Endothelial Cells
6,Hepatocytes - Portal
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
2,Endothelial Cells
9,Stellate Cells
9,Stellate Cells
3,Hepatocytes - Central
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
6,Hepatocytes - Portal
6,Hepatocytes - Portal
6,Hepatocytes - Portal
9,Stellate Cells
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
6,Hepatocytes - Portal
6,Hepatocytes - Portal
6,Hepatocytes - Portal
9,Stellate Cells
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
10,T Cells
5,Hepatocytes - Midportal
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
6,Hepatocytes - Portal
3,Hepatocytes - Central
7,Macrophages
6,Hepatocytes - Portal
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
9,Stellate Cells
6,Hepatocytes - Portal
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
